,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
253,TCL,TCL T89C,75,Ultra HD (4K),LED,HVA Panel | Dolby Visio...,191,18,4.2,55000,55000,Google,2025,0.0
255,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,1282,157,4.1,10499,28990,Google,2025,63.78
256,Reliance,Reliance,32,HD Ready,LED,Next Generation Google Smart L...,8304,929,4.0,12990,19999,Google,2025,35.05
257,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1231,140,4.0,12990,24999,Android,2025,48.04
258,LG,LG,32,HD Ready,LED,LED Panel | Mega Contrast | PurCol...,551,71,4.3,16480,269900,webOS,2025,93.89
259,SONY,Unknown,75,Ultra HD (4K),LED,"Advanced AI Processor X1 HDR, ...",1282,157,4.1,29990,29990,Google,2024,0.0
260,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,136,11,4.4,7490,13999,Android,2024,46.5
261,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,8304,929,4.0,7699,39999,Coolita,2025,80.75
264,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,2555,215,4.4,7590,21240,Android,2025,64.27
265,LG,Unknown,32,Full HD,LED,Not Specified,9842,1303,4.3,13990,22990,webOS,2021,39.15
266,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,5721,807,4.2,5890,22990,Android,2024,74.38
267,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,88,13,4.1,5890,24999,Android,2025,76.44
269,Samsung,Samsung AUE60,55,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,48999,59999,Tizen,2021,18.33
270,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",23,1,4.5,31999,34990,Google,2024,8.55
271,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,1695,365,4.2,19999,129990,Android,2023,84.61
272,TCL,TCL P7K,65,Ultra HD (4K),LED,Dolby Vision-,6295,918,4.3,24999,24999,Google,2025,0.0
274,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",7,2,4.0,21999,120990,Google,2024,81.82
275,Haier,Haier,55,Ultra HD (4K),LED,Not Specified,951,148,4.1,49999,49999,Google,2024,0.0
276,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",25710,2989,4.2,28999,59999,Google,2025,51.67
277,Hisense,Hisense 50E7Q,50,Ultra HD (4K),LED,"Dolby Vision Atmos,...",191,18,4.2,29999,62990,VIDAA,2025,52.37
280,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,51,0,3.8,10499,19999,Google,2025,47.5
281,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,1282,157,4.1,13499,44990,Coolita,2025,70.0
282,Reliance,Reliance,43,Full HD,LED,Next Generation Google Smart F...,8304,929,4.0,20490,69900,Google,2025,70.69
283,SONY,SONY Bravia 2,43,Ultra HD (4K),LED,Not Specified,32,1,3.8,43490,79999,Google,2024,45.64
284,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",14,0,4.1,25999,25999,Google,2024,0.0
285,TOSHIBA,TOSHIBA 32E38RP,32,HD Ready,LED,"30W Powerful Sound, Do...",25710,2989,4.2,12999,40990,Google,2025,68.29
286,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,12990,29990,Android,2025,56.69
287,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,5496,570,4.2,7490,24999,Android,2024,70.04
288,XIAOMI,XIAOMI by Mi,32,HD Ready,LED,2 Table Stand,110,13,4.0,14415,34900,Android,2022,58.7
289,SONY,SONY,32,HD Ready,LED,Not Specified,8304,929,4.0,13999,13999,Google,2024,0.0
